name,ascents,grade,popularity,elo,elo_std,pop_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
New kids on da block,184,7A+,8.1082,-2.8709,0.0000,0.0000,18.374,18.374,18.374,7A,+0.626
Kreuz,23,7B,5.1230,-0.0868,0.0000,0.0000,19.339,19.339,19.339,7A+,+0.661
Alles raus!,20,6B,1.3849,-4.2114,0.0000,0.0000,15.469,15.469,15.469,6B+,-1.469
Eyes wide shut,83,7B,7.0717,-0.9979,0.0000,0.0000,19.314,19.314,19.314,7A+,+0.686
Weeed,1,6B,-0.2975,-0.3792,0.0000,0.0000,17.522,17.522,17.522,7A,-3.522
Double Infraction,16,8A+,9.8296,2.4845,0.0000,0.0000,22.462,22.462,22.462,7C,+2.538
Peter,34,6C,3.3058,-3.7122,0.0000,0.0000,16.376,16.376,16.376,6C,-0.376
Toblerone,5,6C+,4.0941,-1.8918,0.0000,0.0000,17.827,17.827,17.827,7A,-0.827
Bleausard,23,7A,3.0230,-1.9182,0.0000,0.0000,17.489,17.489,17.489,6C+,+0.511
Blitz und Donner,23,6A,5.6061,-5.5593,0.0000,0.0000,15.832,15.832,15.832,6C,-3.832
Entlingen,20,8B+,12.1616,2.3961,0.0000,0.0000,23.101,23.101,23.101,7C+,+3.899
Crack dealer,3,7B,-1.6544,1.1262,0.0000,0.0000,18.121,18.121,18.121,7A,+1.879
N.N. (etwas li. von Kante),5,6C+,2.4149,-3.1579,0.0000,0.0000,16.480,16.480,16.480,6C,+0.520
Cornershop,40,6B,3.3659,-3.9264,0.0000,0.0000,16.251,16.251,16.251,6C,-2.251
Heidiland,167,7B,7.9780,-2.7325,0.0000,0.0000,18.427,18.427,18.427,7A,+1.573
Nachtschwärmer,3,6C,3.3533,2.4572,0.0000,0.0000,20.507,20.507,20.507,7B+,-4.507
Heidi,38,6A,4.7724,-6.7021,0.0000,0.0000,14.820,14.820,14.820,6B+,-2.820
Pscht!,6,6B+,-1.6796,-2.7033,0.0000,0.0000,15.558,15.558,15.558,6C,-0.558
Dau Man,19,6C+,3.7950,-2.5887,0.0000,0.0000,17.272,17.272,17.272,6C+,-0.272
Riss,13,6A,1.9728,-4.2310,0.0000,0.0000,15.631,15.631,15.631,6C,-3.631
Unscheinbarer Pfeiler,75,7A+,6.4496,-1.4417,0.0000,0.0000,18.831,18.831,18.831,7A+,+0.169
Kieselzange,79,6B+,4.5726,-4.2885,0.0000,0.0000,16.370,16.370,16.370,6C,-1.370
Batman,42,7B+,9.3705,-0.6390,0.0000,0.0000,20.241,20.241,20.241,7B,+0.759
Kreuz und Quer,6,7C,6.5043,2.2910,0.0000,0.0000,21.338,21.338,21.338,7B+,+0.662
Eckzimmer,40,8B,12.1733,1.7023,0.0000,0.0000,22.641,22.641,22.641,7C+,+3.359
Nanga Parbat NO-Kante,5,7B,2.8208,1.6990,0.0000,0.0000,19.842,19.842,19.842,7B,+0.158
Pocket Rocket,27,8A,10.3551,0.9597,0.0000,0.0000,21.602,21.602,21.602,7C,+2.398
Crack line,8,6C+,-0.2773,-2.6324,0.0000,0.0000,16.025,16.025,16.025,6C,+0.975
Gratulescion,3,5A,-1.6158,-6.3619,0.0000,0.0000,13.136,13.136,13.136,6A+,-4.136
Shoujo manga,4,6B,-3.3340,-6.3759,0.0000,0.0000,12.613,12.613,12.613,6A+,+1.387
Soloditre,4,3B,-0.0044,-10.6352,0.0000,0.0000,10.767,10.767,10.767,5C,-6.767
L'imprevisto,2,6B,-12.1468,-4.2418,0.0000,0.0000,11.401,11.401,11.401,5C,+2.599
Snake,30,6A,1.7967,-5.3775,0.0000,0.0000,14.814,14.814,14.814,6B+,-2.814
Pentagram,32,6A,2.9528,-5.7778,0.0000,0.0000,14.892,14.892,14.892,6B+,-2.892
Tiramore,6,6A+,-2.9337,-3.5173,0.0000,0.0000,14.640,14.640,14.640,6B+,-1.640
Il pannelaro,11,6B,0.5096,-3.0715,0.0000,0.0000,15.967,15.967,15.967,6C,-1.967
Teorema euclideo,30,6A,3.2504,-5.7356,0.0000,0.0000,15.009,15.009,15.009,6B+,-3.009
Trieste-Gottardo,154,8A,14.3396,0.4931,0.0000,0.0000,22.482,22.482,22.482,7C,+1.518
Cainadòr,4,6B+,-1.9586,-7.0754,0.0000,0.0000,12.557,12.557,12.557,6A+,+2.443
V commisione,2,6A,0.9488,-5.5439,0.0000,0.0000,14.449,14.449,14.449,6B,-2.449
Frizzi e lazzi,8,4A,1.3846,-13.8080,0.0000,0.0000,9.065,9.065,9.065,5A,-3.065
Lotta continua,6,6A+,-2.0271,-6.3534,0.0000,0.0000,13.019,13.019,13.019,6A+,-0.019
El pelequero,2,6B+,-0.3697,0.8093,0.0000,0.0000,18.294,18.294,18.294,7A,-3.294
Il principe mezzosangue,2,5A,-0.3785,-2.6280,0.0000,0.0000,15.998,15.998,15.998,6C,-6.998
Genio egoista,12,6B+,0.4742,-4.2341,0.0000,0.0000,15.181,15.181,15.181,6B+,-0.181
Cavallo a maniglie,11,6B,0.0997,-2.2227,0.0000,0.0000,16.411,16.411,16.411,6C,-2.411
Swiss corner,13,7B,3.8605,1.2916,0.0000,0.0000,19.881,19.881,19.881,7B,+0.119
Coupe d'epaule,5,6C,-0.9678,-3.2652,0.0000,0.0000,15.396,15.396,15.396,6B+,+0.604
Hasch mich,53,7A+,5.2035,-1.5462,0.0000,0.0000,18.389,18.389,18.389,7A,+0.611
Ponstan 500,14,6C+,2.5901,-1.2397,0.0000,0.0000,17.812,17.812,17.812,7A,-0.812
La baguette,3,3B,-0.9996,-9.9469,0.0000,0.0000,10.928,10.928,10.928,5C,-6.928
La redoute,24,6B,1.4929,-1.7039,0.0000,0.0000,17.174,17.174,17.174,6C+,-3.174
Giovani marmotte,6,6C,1.5096,-0.8721,0.0000,0.0000,17.734,17.734,17.734,7A,-1.734
Scary Christmas,64,8A,15.2858,-0.0620,0.0000,0.0000,22.395,22.395,22.395,7C,+1.605
Senza paura,5,6C,-2.4139,-0.3734,0.0000,0.0000,16.893,16.893,16.893,6C+,-0.893
Sverginella,2,4A,-1.9577,-8.3148,0.0000,0.0000,11.731,11.731,11.731,6A,-5.731
Enea‘s problem,1,6A,-1.1682,-5.1584,0.0000,0.0000,14.073,14.073,14.073,6B,-2.073
Senza frontiere,3,6B+,-3.8446,-5.9293,0.0000,0.0000,12.758,12.758,12.758,6A+,+2.242
Lupisciu,20,6A,1.2787,-5.6352,0.0000,0.0000,14.487,14.487,14.487,6B,-2.487
Nothing to loose,5,6C+,0.7074,1.0615,0.0000,0.0000,18.784,18.784,18.784,7A+,-1.784
Trombstone,5,6B+,-1.0619,-3.9262,0.0000,0.0000,14.927,14.927,14.927,6B+,+0.073
German Airway,1,7A+,-4.5874,2.5415,0.0000,0.0000,18.188,18.188,18.188,7A,+0.812
Traccia fantasma,6,6B+,-3.3417,-3.2995,0.0000,0.0000,14.663,14.663,14.663,6B+,+0.337
Buena vista,6,6A+,-3.3458,-3.2857,0.0000,0.0000,14.671,14.671,14.671,6B+,-1.671
Ecstasy,166,6C+,11.3830,-2.3593,0.0000,0.0000,19.695,19.695,19.695,7B,-2.695
Il prigioniero di Azkaban,7,6A,-1.5495,-5.1619,0.0000,0.0000,13.957,13.957,13.957,6B,-1.957
Variante senza pelo,2,6A+,-5.3869,-2.3607,0.0000,0.0000,14.678,14.678,14.678,6B+,-1.678
Lupo Lupone,2,5A,-2.4415,-8.6601,0.0000,0.0000,11.356,11.356,11.356,5C,-2.356
La mala educación,2,4A,-2.0684,-5.7357,0.0000,0.0000,13.419,13.419,13.419,6A+,-7.419
Basket Club,4,7A+,0.0801,1.5453,0.0000,0.0000,18.919,18.919,18.919,7A+,+0.081
Richy boulder,1,6B+,-12.1632,-4.2400,0.0000,0.0000,11.397,11.397,11.397,5C,+3.603
