name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade
New kids on da block,184,7A+,4.8102,-2.8187,0.2209,16.708,15.972,17.444,6C+,+2.292
Kreuz,23,7B,4.1926,-0.4697,0.5679,20.702,18.809,22.594,7B+,-0.702
Alles raus!,20,6B,-0.5263,-4.1219,0.6443,14.493,12.346,16.640,6B,-0.493
Eyes wide shut,83,7B,3.4230,-0.6321,0.3834,20.425,19.148,21.703,7B,-0.425
Weeed,1,6B,-1.1757,-0.7275,2.2164,20.263,12.878,27.648,7B,-6.263
Double Infraction,16,8A+,6.9319,2.3364,0.5268,25.472,23.717,27.227,8A+,-0.472
Peter,34,6C,1.8132,-3.7441,0.4041,15.135,13.788,16.482,6B+,+0.865
Toblerone,5,6C+,-0.0623,-3.9499,0.8082,14.785,12.092,17.478,6B+,+2.215
Bleausard,23,7A,1.9940,-1.5318,0.5166,18.896,17.175,20.617,7A+,-0.896
Blitz und Donner,23,6A,0.4330,-6.5377,0.7512,10.386,7.883,12.889,5B,+1.614
Entlingen,20,8B+,7.3167,2.5179,0.4587,25.780,24.252,27.309,8B,+1.220
Crack dealer,3,7B,-1.6131,0.1614,1.6527,21.774,16.268,27.281,7C,-1.774
N.N. (etwas li. von Kante),5,6C+,-1.2275,-4.1631,1.2497,14.423,10.259,18.587,6B,+2.577
Cornershop,40,6B,1.4833,-3.4722,0.3942,15.597,14.284,16.911,6C,-1.597
Heidiland,167,7B,5.2065,-2.4156,0.2062,17.393,16.706,18.080,6C+,+2.607
Nachtschwärmer,3,6C,3.3259,0.8792,0.7023,22.995,20.655,25.335,7C+,-6.995
Heidi,38,6A,1.4680,-6.4132,0.4437,10.598,9.119,12.076,5C,+1.402
Pscht!,6,6B+,-2.0286,-2.5667,1.3737,17.137,12.560,21.714,6C+,-2.137
Dau Man,19,6C+,0.3753,-2.2018,0.6584,17.757,15.563,19.951,7A,-0.757
Riss,13,6A,-0.4741,-4.1447,0.7236,14.454,12.043,16.865,6B,-2.454
Unscheinbarer Pfeiler,75,7A+,3.5598,-1.6186,0.2915,18.748,17.777,19.719,7A+,+0.252
Kieselzange,79,6B+,1.7471,-4.0987,0.3332,14.532,13.422,15.642,6B+,+0.468
Batman,42,7B+,3.2880,-0.4028,0.3955,20.815,19.498,22.133,7B+,+0.185
Kreuz und Quer,6,7C,3.1296,2.4837,0.7272,25.722,23.299,28.145,8B,-3.722
Eckzimmer,40,8B,8.1231,1.8356,0.3322,24.621,23.514,25.728,8A+,+1.379
Nanga Parbat NO-Kante,5,7B,1.9116,1.7929,0.7183,24.548,22.154,26.941,8A+,-4.548
Pocket Rocket,27,8A,6.4611,1.1662,0.4217,23.482,22.077,24.888,7C+,+0.518
Crack line,8,6C+,-1.1388,-2.8133,1.1340,16.717,12.939,20.496,6C+,+0.283
Shoujo manga,4,6B,-3.2374,-5.1234,1.6984,12.790,7.131,18.449,6A+,+1.210
L'imprevisto,2,6B,-3.9915,-2.4488,2.2275,17.337,9.915,24.759,6C+,-3.337
Snake,30,6A,0.0786,-5.1952,0.5083,12.668,10.975,14.362,6A+,-0.668
Pentagram,32,6A,0.5470,-5.7523,0.4762,11.721,10.135,13.308,6A,+0.279
Tiramore,6,6A+,-2.8012,-3.1604,1.2015,16.127,12.124,20.131,6C,-3.127
Il pannelaro,11,6B,-0.8780,-3.4255,0.9957,15.677,12.359,18.994,6C,-1.677
Teorema euclideo,30,6A,0.1212,-5.5497,0.4439,12.066,10.586,13.545,6A,-0.066
Trieste-Gottardo,154,8A,8.3498,0.1968,0.2385,21.834,21.040,22.629,7C,+2.166
Cainadòr,4,6B+,-1.9512,-6.3861,1.3320,10.644,6.205,15.082,5C,+4.356
V commisione,2,6A,-0.9835,-5.2433,2.1175,12.586,5.531,19.642,6A+,-0.586
Lotta continua,6,6A+,-2.8371,-5.8725,1.2435,11.517,7.374,15.660,6A,+1.483
El pelequero,2,6B+,-1.6529,-0.1010,1.3498,21.328,16.831,25.826,7B+,-6.328
Genio egoista,12,6B+,-0.8134,-4.0164,0.7835,14.672,12.062,17.283,6B+,+0.328
Cavallo a maniglie,11,6B,-0.9017,-2.3402,0.8339,17.522,14.743,20.300,7A,-3.522
Swiss corner,13,7B,1.1921,1.7404,0.5375,24.459,22.668,26.249,8A,-4.459
Coupe d'epaule,5,6C,-1.1627,-2.2328,1.1533,17.704,13.861,21.547,7A,-1.704
Hasch mich,53,7A+,3.0493,-1.3396,0.3438,19.223,18.077,20.368,7A+,-0.223
Ponstan 500,14,6C+,1.7101,-0.3773,0.6053,20.859,18.842,22.876,7B+,-3.859
La redoute,24,6B,1.1633,-2.5920,0.5702,17.094,15.194,18.994,6C+,-3.094
Giovani marmotte,6,6C,-0.6055,-1.5541,1.0059,18.858,15.506,22.210,7A+,-2.858
Scary Christmas,64,8A,6.9520,0.2043,0.2984,21.847,20.853,22.842,7C,+2.153
Senza paura,5,6C,-1.2060,-0.9283,1.2658,19.922,15.704,24.140,7B,-3.922
Enea‘s problem,1,6A,-3.5005,-3.3851,2.7872,15.745,6.458,25.032,6C,-3.745
Senza frontiere,3,6B+,-2.7736,-4.7188,1.8492,13.478,7.316,19.640,6A+,+1.522
Lupisciu,20,6A,-0.1905,-5.5189,0.6619,12.118,9.912,14.323,6A,-0.118
Nothing to loose,5,6C+,0.2582,0.9957,1.1032,23.193,19.517,26.869,7C+,-6.193
Trombstone,5,6B+,-1.5457,-1.7458,1.2318,18.532,14.428,22.637,7A+,-3.532
German Airway,1,7A+,-0.6848,4.2042,1.2574,28.647,24.457,32.837,8C+,-9.647
Traccia fantasma,6,6B+,-2.3848,-3.2611,1.3422,15.956,11.484,20.428,6C,-0.956
Buena vista,6,6A+,-2.8570,-3.5608,1.2274,15.447,11.357,19.536,6B+,-2.447
Ecstasy,166,6C+,5.4730,-2.4006,0.1798,17.419,16.820,18.018,6C+,-0.419
Il prigioniero di Azkaban,7,6A,-1.1468,-4.9054,1.1492,13.161,9.332,16.990,6A+,-1.161
Variante senza pelo,2,6A+,-3.3897,-1.9995,1.8039,18.101,12.090,24.111,7A,-5.101
Basket Club,4,7A+,0.8223,2.2661,0.9271,25.352,22.263,28.442,8A+,-6.352
Richy boulder,1,6B+,-4.2906,-2.0994,2.4376,17.931,9.809,26.053,7A,-2.931
Yaniro completa,14,6B,-1.0799,-4.4333,0.7141,13.963,11.584,16.343,6B,+0.037
Tengo famiglia,2,6C,-1.6493,2.0687,1.2900,25.017,20.719,29.315,8A+,-9.017
Bradipo Sid,1,7A+,-0.1231,4.2418,1.5988,28.711,23.384,34.038,8C+,-9.711
Trumbalalela,3,6A+,-3.2413,-5.8510,1.5567,11.553,6.366,16.740,6A,+1.447
Il marocchino,14,7A+,2.1278,0.5497,0.6386,22.435,20.307,24.562,7C,-3.435
L' eco du mariage,3,7A+,-0.4041,0.6155,1.0737,22.546,18.969,26.124,7C+,-3.546
Dracula,3,7A+,-1.7746,0.1561,1.4643,21.765,16.886,26.644,7C,-2.765
Deep impact,1,6B+,-0.8933,3.2250,1.7869,26.983,21.028,32.937,8B+,-11.983
Homo mouse,48,7C,4.1936,-0.8566,0.3434,20.044,18.900,21.188,7B,+1.956
Anonima fumetti,2,6A+,-3.1925,-4.3279,1.7328,14.143,8.369,19.916,6B,-1.143
Crash-pad surfer,1,6C+,-1.7379,-0.8852,2.0918,19.995,13.025,26.965,7B,-2.995
Cryptex,1,7A,-1.5929,1.7293,1.7080,24.440,18.749,30.131,8A,-6.440
Crash-test,5,6B,-1.2899,-6.4817,1.2682,10.481,6.255,14.707,5B,+3.519
Mugina wall,9,6B,-1.6737,-4.6045,1.1866,13.672,9.719,17.626,6B,+0.328
Nouvi bersagli,13,6C,0.3837,-1.5635,0.7083,18.842,16.482,21.202,7A+,-2.842
Delirium tremens,24,6C+,2.0985,-3.1053,0.4535,16.221,14.710,17.732,6C,+0.779
Amalapena,6,6A+,-1.9085,-2.1868,1.0226,17.782,14.375,21.190,7A,-4.782
Placascia,3,6B+,-1.8340,-2.3356,1.8325,17.530,11.424,23.636,7A,-2.530
Arty,9,7A,-1.4969,-0.6315,0.6212,20.426,18.357,22.496,7B,-2.426
Il Ballerino,9,7B+,1.4107,3.8233,0.6177,28.000,25.941,30.058,8C,-7.000
Mauros Line,13,7C,1.9017,2.7073,0.4175,26.102,24.711,27.493,8B,-4.102
Iron Butterfly,192,7B+,4.5422,0.3368,0.1531,22.073,21.562,22.583,7C,-1.073
Dance with Wolves,1,6C,-0.9062,3.4670,0.9043,27.394,24.381,30.407,8B+,-11.394
Papa Chango,76,7C,3.0199,0.5886,0.2366,22.501,21.712,23.289,7C+,-0.501
Nona,3,6A+,-3.1763,-1.8011,0.9894,18.438,15.142,21.735,7A,-5.438
From shallow water to Baptiste,8,8A,1.4050,3.9954,0.6299,28.292,26.193,30.391,8C,-4.292
Angel Heart,5,7C,-0.8731,1.3595,0.8214,23.811,21.074,26.548,8A,-1.811
Riverbed,234,8B,9.6794,1.8229,0.1465,24.599,24.111,25.087,8A+,+1.401
Baptiste,101,7B+,1.8895,-1.2850,0.2047,19.315,18.633,19.997,7A+,+1.685
Rastafarai,1,6A+,-4.1301,-3.0833,1.8810,16.258,9.991,22.526,6C,-3.258
From shallow water to riverbed,24,8B+,6.9317,3.8974,0.2951,28.126,27.142,29.109,8C,-1.126
Baby Boy,7,6A,-3.2645,-7.5083,1.0967,8.736,5.082,12.390,5A,+3.264
Nimmersatt,2,6C+,-2.8474,-2.2546,1.3191,17.667,13.272,22.062,7A,-0.667
Zork,1,6A,-4.8149,-0.7907,2.4153,20.156,12.108,28.204,7B,-8.156
Scared of the wild,7,7A,-2.2805,-1.7299,1.0002,18.559,15.227,21.892,7A+,-0.559
Practice of the Wild,32,8B+,7.7643,3.9588,0.2870,28.230,27.274,29.186,8C,-1.230
Muchacha,39,7A,1.0843,0.4967,0.3814,22.344,21.073,23.615,7C,-4.344
Flippas,8,7B,-1.6350,-0.0839,0.7232,21.357,18.948,23.767,7B+,-1.357
Life in the dirt,20,7A,-1.7005,-3.1460,0.6339,16.152,14.039,18.264,6C,+1.848
Schimmelplatte,3,6A,-4.0964,-7.2664,1.9100,9.147,2.783,15.511,5A,+2.853
The bomb is explosion,123,8A+,5.9658,1.3192,0.1854,23.743,23.125,24.361,8A,+1.257
Dusty soul,7,6B,-3.4422,-4.7542,1.0115,13.418,10.048,16.788,6A+,+0.582
Muerte,2,7B,-2.7524,0.5028,1.4124,22.355,17.649,27.061,7C,-2.355
120b,2,6B,-3.6108,-1.1134,1.3439,19.607,15.129,24.085,7B,-5.607
Schimmel & Bless,1,6B+,-4.5009,3.4658,2.6088,27.392,18.699,36.085,8B+,-12.392
Peter,6,6A,-2.9865,-6.9224,0.9801,9.732,6.466,12.998,5B,+2.268
Treeattack,96,7B,1.6542,-1.4778,0.2813,18.988,18.050,19.925,7A+,+1.012
Neandertaler,115,7B,2.2874,-0.1415,0.2777,21.259,20.334,22.185,7B+,-1.259
Abraxas,205,7A+,2.6485,-1.2951,0.1649,19.298,18.749,19.848,7A+,-0.298
Giulebbatici geni gerosolimitanti,4,8A,-0.2276,3.8037,0.7146,27.966,25.585,30.347,8C,-3.966
Magic Dyno zentral,37,6C+,0.1946,-1.9393,0.3687,18.203,16.975,19.432,7A,-1.203
Magic Hook,36,6C,-0.4645,-2.3577,0.4001,17.492,16.159,18.825,6C+,-1.492
Rastamaniac,2,6A,-4.6174,-6.2752,2.7245,10.832,1.754,19.910,5C,+1.168
Cross over Traverse,3,7C,-0.9813,3.3283,0.8896,27.158,24.194,30.122,8B+,-5.158
